Symbol  ,Date  ,Expiry_Date,Option_Type,Strike_Price,Option_Close, Nifty_Close
BANKNIFTY,04-Aug-25,28-Aug-25,call,52100,4875,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,56900,253.4,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,52500,3371.1,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,56300,458.85,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,56400,417.1,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,52200,4220,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,51700,5244.35,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,62000,7.25,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,59100,27,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,55000,1207.5,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,57400,148.05,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,48500,7350,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,58900,31.9,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,61100,710.25,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,54100,1935.7,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,50000,5829.45,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,61000,9.4,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,54800,1357.2,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,60700,10.8,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,60300,12.5,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,52900,2942.5,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,53900,2301,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,54300,1750,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,54900,1282.6,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,50700,5700,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,56500,379,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,52000,3872.8,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,61600,7.8,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,51400,5482.05,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,62200,7.55,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,51300,5180,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,60100,13.95,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,58600,41.95,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,55600,813.2,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,59600,18.2,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,52700,3350,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,57200,183.9,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,59800,1006.9,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,62400,5.8,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,52600,3156.2,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,60600,9.95,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,51100,5724.35,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,62100,6.7,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,57000,226.4,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,62300,6.6,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,59900,16.05,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,55500,872.95,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,61500,7.95,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,57900,84.85,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,51200,5643.1,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,54200,1905,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,58200,62.35,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,61800,7.6,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,55400,937.9,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,52400,3994.95,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,56600,344.35,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,61200,8.7,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,64000,5.1,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,54700,1426.2,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,58100,69.3,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,65000,4.5,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,51000,4840.4,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,55700,755.55,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,53000,2913.65,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,58300,56.15,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,53300,2640,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,52800,3700,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,58800,34.65,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,49000,6874.5,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,53200,2700,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,55800,699.75,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,60800,771.6,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,61700,7.7,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,57800,95.2,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,59000,29.25,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,53100,2950,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,54400,1690,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,57700,105.85,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,50900,5520,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,63500,5.7,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,59500,19.1,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,50600,5799,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,55200,1068.25,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,53800,2390,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,55300,1002.8,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,52300,4130,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,53500,2452.45,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,56700,310.85,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,61400,8.35,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,60000,14.25,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,54500,1594,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,58400,50.9,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,59400,20.9,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,58700,37.45,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,50800,5610,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,56000,594.4,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,48000,7800.05,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,55100,1137.85,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,60900,10.25,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,57100,204.3,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,60500,11.1,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,51600,5323.1,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,53600,2200,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,59300,22.8,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,54000,2011.3,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,63000,5.8,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,55900,646.3,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,57300,164.75,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,56800,281.3,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,59700,17.3,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,56100,547.35,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,59200,24.75,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,60400,12.75,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,60200,12.6,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,49500,6715,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,53700,2485,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,51500,4325.4,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,50500,5295,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,64500,4.8,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,58500,45.8,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,53400,2550,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,57500,132.75,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,57600,118.25,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,54600,1523.55,55619.35
BANKNIFTY,04-Aug-25,28-Aug-25,call,51900,5088.55,55619.35
